"n","proposed_cov","proposed_width","proposed_med_width","naive_cov","naive_width","naive_med_width","stdLLR_cov_tauRD","stdLLR_width","stdLLR_med_width","stdLLR_cov_tauPE","n_na","n_failed","n_success","tauRD","tau_partial","gamma"
500,0.946,6.11243346912673,6.02009405488441,0.932,10.8726045934152,10.4003420591423,0.664,1.79076858021574,1.78411791227336,0.95,0,0,2000,1.68992981425446,1,0.5
1000,0.942,4.55897194555272,4.50257086848283,0.941,8.01184394234033,7.79634955120429,0.474,1.33581179449691,1.3324097388475,0.944,0,0,2000,1.68992981425446,1,0.5
2000,0.946,3.38521212511798,3.36295213728684,0.9415,5.91586239528921,5.83565174648613,0.2305,0.993679262887759,0.989432811113112,0.95,0,0,2000,1.68992981425446,1,0.5
4000,0.952,2.51750594120472,2.50206820603443,0.9435,4.37364039176949,4.33006257074987,0.042,0.739088949201478,0.735292039154284,0.9505,0,0,2000,1.68992981425446,1,0.5
8000,0.9585,1.87017083979887,1.85856606094674,0.952,3.23840346160366,3.21299571591138,0.003,0.54979105664731,0.54584517638967,0.948,0,0,2000,1.68992981425446,1,0.5
16000,0.949,1.38988336906514,1.38125276464013,0.946,2.40069711155101,2.38774076572083,0,0.408800487207693,0.405684217753213,0.9495,0,0,2000,1.68992981425446,1,0.5
32000,0.953,1.03385127286743,1.02566796532407,0.95,1.78286305665371,1.77362842095499,0,0.303830437837861,0.301251385851207,0.9465,0,0,2000,1.68992981425446,1,0.5
64000,0.939,0.767700606773068,0.761320327698384,0.9365,1.32787669990405,1.31895788803017,0,0.225945240495503,0.223489668266415,0.943,0,0,2000,1.68992981425446,1,0.5
500,0.953,7.51038885255634,7.36407293600989,0.9125,40.490951691079,24.6416201294151,0.033,1.79076858021574,1.78411791227336,0.95,0,0,2000,2.78504688055273,1,0.8
1000,0.949,5.61201680257431,5.52744309170906,0.9395,22.0340178717643,18.2786683941156,0.001,1.33581179449691,1.3324097388475,0.944,0,0,2000,2.78504688055273,1,0.8
2000,0.953,4.17148906031537,4.12028384361428,0.942,14.8251360041615,13.5734170940641,0,0.993679262887759,0.989432811113112,0.95,0,0,2000,2.78504688055273,1,0.8
4000,0.9565,3.12132832409646,3.09158938186842,0.9555,10.5434231095633,10.1747468164877,0,0.739088949201478,0.735292039154284,0.9505,0,0,2000,2.78504688055273,1,0.8
8000,0.9475,2.33169332207389,2.31106198324655,0.9535,7.73838347305694,7.5788491991511,0,0.54979105664731,0.54584517638967,0.948,0,0,2000,2.78504688055273,1,0.8
16000,0.9425,1.73252862148822,1.72053033417503,0.945,5.74122767030664,5.65121601426676,0,0.408800487207693,0.405684217753213,0.9495,0,0,2000,2.78504688055273,1,0.8
32000,0.9415,1.29180576619595,1.28556318733935,0.9525,4.24381976157815,4.20956842491093,0,0.303830437837861,0.301251385851207,0.9465,0,0,2000,2.78504688055273,1,0.8
64000,0.931,0.962509467258883,0.956757940356667,0.9295,3.16416093374918,3.13798129453713,0,0.225945240495503,0.223489668266415,0.943,0,0,2000,2.78504688055273,1,0.8
500,0.952,12.0666351950249,11.82159389537,0.9225,4908.67055052968,67.9328624784825,0,1.79076858021574,1.78411791227336,0.95,0,0,2000,4.23038065348611,1,1
1000,0.9545,8.81666098528514,8.71439340149651,0.9415,36500.0902384291,51.2249586704258,0,1.33581179449691,1.3324097388475,0.944,0,0,2000,4.23038065348611,1,1
2000,0.954,6.46770923497446,6.39984160881794,0.9535,69.1896859643398,37.3439324884302,0,0.993679262887759,0.989432811113112,0.95,0,0,2000,4.23038065348611,1,1
4000,0.9515,4.77204127398592,4.74823913677201,0.9615,31.1984353421879,27.3317114376025,0,0.739088949201478,0.735292039154284,0.9505,0,0,2000,4.23038065348611,1,1
8000,0.9505,3.54732937702648,3.52828817623275,0.9685,21.4288677807681,20.037207046574,0,0.54979105664731,0.54584517638967,0.948,0,0,2000,4.23038065348611,1,1
16000,0.939,2.65095404810692,2.64269982271408,0.961,15.5998634664957,14.8680326187957,0,0.408800487207693,0.405684217753213,0.9495,0,0,2000,4.23038065348611,1,1
32000,0.9435,1.96708332544737,1.95114685900119,0.9495,11.4775829448117,11.2183901250995,0,0.303830437837861,0.301251385851207,0.9465,0,0,2000,4.23038065348611,1,1
64000,0.95,1.46532268723194,1.45274466142998,0.911,8.55456011578286,8.42994422202215,0,0.225945240495503,0.223489668266415,0.943,0,0,2000,4.23038065348611,1,1
