gamma,days,VY,VA
0.0,1,-2.5382006996465347,0.4015
0.0,2,-2.5382006996465347,0.4015
0.0,4,-2.5382006996465347,0.4015
0.0,8,-2.5382006996465347,0.4015
0.9583333333,1,-144.8123799357053,1.2899856562489354
0.9583333333,2,-162.15368882461766,1.4349268188605913
0.9583333333,4,-164.71183744608365,1.4562331608774362
0.9583333333,8,-164.7554372655743,1.4565902271304902
0.9791666667,1,-211.4462455753244,1.7276543420251889
0.9791666667,2,-283.9241641075184,2.288751726009841
0.9791666667,4,-320.13540399967786,2.5670761148121066
0.9791666667,8,-325.569026547039,2.6085268471978083
0.9895833333,1,-260.0869834657752,2.020195026432148
0.9895833333,2,-409.61766969231087,3.125301330331519
0.9895833333,4,-555.7258987158172,4.194734922255311
0.9895833333,8,-628.7192937047246,4.729342465776902
0.9947916667,1,-289.7736265382983,2.1903586677989266
0.9947916667,2,-505.0636837103627,3.741754902995574
0.9947916667,4,-805.0048660442407,5.879722365360441
0.9947916667,8,-1096.3135438393879,7.967891865391099
1.0,1,-323.8363154531034,2.3791
1.0,2,-634.2984737108053,4.5575
1.0,4,-1259.514658131875,8.8918
1.0,8,-2506.5425491583983,17.6327
